CustomerID,Lookalikes
C0001,"[('C0069', 0.9930176434209248), ('C0192', 0.9805349862379563), ('C0072', 0.9710717291508056)]"
C0002,"[('C0134', 0.9960288508958192), ('C0106', 0.9897010838783545), ('C0036', 0.9835410248090513)]"
C0003,"[('C0197', 0.9937218302691064), ('C0166', 0.9912960114173064), ('C0113', 0.982628694249435)]"
C0004,"[('C0075', 0.9966789286400511), ('C0090', 0.9892013493405999), ('C0146', 0.9885595812262312)]"
C0005,"[('C0085', 0.9927888519265511), ('C0007', 0.9922071097892098), ('C0163', 0.9913612972515684)]"
C0006,"[('C0185', 0.9925986688340163), ('C0135', 0.9840741982528924), ('C0200', 0.9788414155569312)]"
C0007,"[('C0163', 0.9976183630109238), ('C0085', 0.9931564407426412), ('C0005', 0.9922071097892098)]"
C0008,"[('C0024', 0.9872299349862735), ('C0116', 0.9840172241461421), ('C0055', 0.98056300748389)]"
C0009,"[('C0098', 0.9740594865316091), ('C0032', 0.9617038157505213), ('C0194', 0.9606646372567466)]"
C0010,"[('C0029', 0.9953194979810709), ('C0111', 0.9934571511523725), ('C0030', 0.9913282743697348)]"
C0011,"[('C0188', 0.9936514352304789), ('C0016', 0.99043207751436), ('C0046', 0.9862422783087014)]"
C0012,"[('C0152', 0.9926108001826848), ('C0148', 0.9882243373536433), ('C0199', 0.9857831922270598)]"
C0013,"[('C0046', 0.9899572536834078), ('C0011', 0.9850318076370755), ('C0056', 0.98475280574386)]"
C0014,"[('C0110', 0.9988190908682248), ('C0080', 0.9918464430135299), ('C0089', 0.9780790346939268)]"
C0015,"[('C0136', 0.9797286149513025), ('C0052', 0.9752612668894817), ('C0071', 0.9737512843553164)]"
C0016,"[('C0011', 0.99043207751436), ('C0188', 0.9887966747668178), ('C0021', 0.984871134580278)]"
C0017,"[('C0179', 0.9961860013900062), ('C0177', 0.9900348982775783), ('C0035', 0.9892778523122359)]"
C0018,"[('C0112', 0.9898065089667392), ('C0125', 0.9866119978449168), ('C0186', 0.9854321029670658)]"
C0019,"[('C0094', 0.980419142443975), ('C0161', 0.978318872979414), ('C0017', 0.9709872314589086)]"
C0020,"[('C0130', 0.9984783886838202), ('C0140', 0.9588089041376625), ('C0066', 0.9434304912587275)]"
